Source,Key,English,Traditional Chinese
CLI,add.added_files,Added {count} files,添加了 {count} 個檔案
CLI,add.adding,Adding {component}...,正在添加 {component}……
CLI,add.all_enabled,All requested components are already enabled!,所有請求的組件均已啟用！
CLI,add.already_enabled,Already enabled: {components},已啟用：{components}
CLI,add.auto_added_db,Auto-added database component for scheduler persistence,已自動添加數據庫組件用於調度器持久化
CLI,add.auto_added_deps,Auto-added dependencies: {deps},已自動補充依賴：{deps}
CLI,add.bracket_override,Bracket syntax 'scheduler[{engine}]' overrides --backend {backend},括號語法 scheduler[{engine}] 將覆蓋 --backend {backend}
CLI,add.components_to_add,Components to add:,將添加的組件：
CLI,add.confirm,Add these components?,確認添加？
CLI,add.error_no_args,Error: components argument is required (or use --interactive),請指定組件名稱，或使用 --interactive 模式
CLI,add.failed,Failed to add components: {error},組件添加失敗：{error}
CLI,add.failed_component,Failed to add {component}: {error},添加 {component} 失敗：{error}
CLI,add.interactive_hint,Or: aegis add --interactive,或：aegis add --interactive
CLI,add.invalid_format,Invalid component format: {error},組件格式不正確：{error}
CLI,add.invalid_scheduler_backend,Invalid scheduler backend: '{backend}',調度器後端不合法：「{backend}」
CLI,add.load_config_failed,Failed to load project configuration: {error},加載項目設定失敗：{error}
CLI,add.postgres_coming,Note: PostgreSQL support coming in future release,注：PostgreSQL 支援將在後續版本提供
CLI,add.project,Project: {path},項目：{path}
CLI,add.scheduler_backend,Scheduler backend: {backend},調度器後端：{backend}
CLI,add.skipped_files,Skipped {count} existing files,跳過了 {count} 個已有檔案
CLI,add.success,Components added successfully!,組件已添加
CLI,add.title,Aegis Stack - Add Components,Aegis Stack — 添加組件
CLI,add.updating,Updating project...,正在更新項目……
CLI,add.usage_hint,"Usage: aegis add scheduler,worker","用法：aegis add scheduler,worker"
CLI,add.valid_backends,Valid options: {options},可選項：{options}
CLI,add.validation_failed,Component validation failed: {error},組件校驗失敗：{error}
CLI,add_service.added_files,Added {count} files,添加了 {count} 個檔案
CLI,add_service.adding_component,Adding required component: {component}...,正在添加所需組件：{component}……
CLI,add_service.adding_service,Adding service: {service}...,正在添加服務：{service}……
CLI,add_service.ai_set_api_key,"   2. Set provider API key ({env_var}, etc.)",   2. 設置供應商 API 密鑰（{env_var} 等）
CLI,add_service.ai_set_provider,"   1. Set {env_var} in .env (openai, anthropic, google, groq)",   1. 在 .env 中設置 {env_var}（openai、anthropic、google、groq）
CLI,add_service.ai_setup,AI Service Setup:,AI 服務設定：
CLI,add_service.ai_test_cli,   3. Test with CLI: {cmd},   3. 通過 CLI 測試：{cmd}
CLI,add_service.all_enabled,All requested services are already enabled!,所有請求的服務已全部啟用
CLI,add_service.already_enabled,Already enabled: {services},已啟用：{services}
CLI,add_service.already_have_components,Already have required components: {components},已具備所需組件：{components}
CLI,add_service.applying_migrations,Applying database migrations...,正在執行數據庫遷移……
CLI,add_service.auth_create_users,   1. Create test users: {cmd},   1. 創建測試用戶：{cmd}
CLI,add_service.auth_setup,Auth Service Setup:,認證服務設定：
CLI,add_service.auth_view_routes,   2. View auth routes: {url},   2. 查看認證路由：{url}
CLI,add_service.bootstrap_alembic,Bootstrapping alembic infrastructure...,正在初始化 Alembic 基礎設施……
CLI,add_service.confirm,Add these services?,確認添加？
CLI,add_service.created_file,Created: {file},已創建：{file}
CLI,add_service.error_no_args,Error: services argument is required (or use --interactive),請指定服務名稱，或使用 --interactive 模式
CLI,add_service.failed,Failed to add services: {error},服務添加失敗：{error}
CLI,add_service.failed_component,Failed to add component {component}: {error},添加組件 {component} 失敗：{error}
CLI,add_service.failed_service,Failed to add service {service}: {error},添加服務 {service} 失敗：{error}
CLI,add_service.generated_migration,Generated migration: {name},已生成遷移：{name}
CLI,add_service.interactive_hint,Or: aegis add-service --interactive,或：aegis add-service --interactive
CLI,add_service.interactive_ignores_args,Warning: --interactive flag ignores service arguments,提示：--interactive 模式將忽略服務參數
CLI,add_service.load_config_failed,Failed to load project configuration: {error},加載項目設定失敗：{error}
CLI,add_service.migration_failed,Warning: Auto-migration failed. Run 'make migrate' manually.,提示：自動遷移未成功，請手動執行 make migrate
CLI,add_service.no_selected,No services selected,未選擇任何服務
CLI,add_service.project,Project: {path},項目：{path}
CLI,add_service.required_components,Required components (will be auto-added):,所需組件（將自動添加）：
CLI,add_service.resolve_failed,Failed to resolve service dependencies: {error},服務依賴解析失敗：{error}
CLI,add_service.services_to_add,Services to add:,將添加的服務：
CLI,add_service.skipped_files,Skipped {count} existing files,跳過了 {count} 個已有檔案
CLI,add_service.success,Services added successfully!,服務已添加成功
CLI,add_service.title,Aegis Stack - Add Services,Aegis Stack — 添加服務
CLI,add_service.usage_hint,"Usage: aegis add-service auth,ai","用法：aegis add-service auth,ai"
CLI,add_service.validation_failed,Service validation failed: {error},服務校驗失敗：{error}
CLI,component.backend,FastAPI backend server,FastAPI 後端服務
CLI,component.database,Database with SQLModel ORM (SQLite or PostgreSQL),數據庫，基於 SQLModel ORM（SQLite 或 PostgreSQL）
CLI,component.frontend,Flet frontend interface,Flet 前端界面
CLI,component.ingress,Traefik reverse proxy and load balancer,Traefik 反向代理與負載均衡
CLI,component.observability,"Logfire observability, tracing, and metrics",Logfire 可觀測性、鏈路追蹤與指標監控
CLI,component.redis,Redis cache and message broker,Redis 緩存與消息代理
CLI,component.scheduler,Scheduled task execution infrastructure,定時任務調度
CLI,component.worker,"Background task processing (arq, Dramatiq, or TaskIQ)",後臺任務處理（arq、Dramatiq 或 TaskIQ）
CLI,components.backend_desc,  backend      - FastAPI backend server (always included),  backend      - FastAPI 後端服務（始終包含）
CLI,components.core_title,CORE COMPONENTS,核心組件
CLI,components.frontend_desc,  frontend     - Flet frontend interface (always included),  frontend     - Flet 前端界面（始終包含）
CLI,components.infra_title,INFRASTRUCTURE COMPONENTS,基礎設施組件
CLI,components.recommends,Recommends: {deps},推薦：{deps}
CLI,components.requires,Requires: {deps},依賴：{deps}
CLI,components.usage_hint,"Use 'aegis init PROJECT_NAME --components redis,worker' to select components","用法：aegis init 項目名 --components redis,worker"
CLI,deploy.adding_host_key,Adding server to known_hosts...,正在添加服務器到 known_hosts……
CLI,deploy.app_running,   Application running at: http://{host},   訪問地址：http://{host}
CLI,deploy.auto_rollback,Auto-rolling back to previous version...,正在自動回滾到上一版本……
CLI,deploy.backup_complete,Backup complete!,備份完成
CLI,deploy.backup_created,Backup created: {timestamp},備份已創建：{timestamp}
CLI,deploy.backup_db,Backing up PostgreSQL database...,正在備份 PostgreSQL 數據庫……
CLI,deploy.backup_db_failed,"Warning: Database backup failed, continuing without it",提示：數據庫備份失敗，繼續執行
CLI,deploy.backup_failed,Failed to create backup: {error},創建備份失敗：{error}
CLI,deploy.backup_pruned,Pruned old backup: {name},已清理舊備份：{name}
CLI,deploy.backups_header,Backups on {host} ({count} total):,服務器 {host} 的備份列表（共 {count} 個）：
CLI,deploy.building,Building and starting services on server...,正在構建並啟動服務……
CLI,deploy.check_status,   Check status: aegis deploy-status,   查看狀態：aegis deploy-status
CLI,deploy.checking_ssh,Checking SSH connectivity...,正在檢查 SSH 連接……
CLI,deploy.col_database,Database,數據庫
CLI,deploy.col_size,Size,大小
CLI,deploy.col_timestamp,Timestamp,時間戳
CLI,deploy.complete,Deployment complete!,部署完成
CLI,deploy.copy_failed,Failed to copy setup script,復制安裝腳本失敗
CLI,deploy.copying_env,Copying {file} to server as .env...,正在將 {file} 上傳為服務器環境變量檔案（.env）……
CLI,deploy.copying_script,Copying setup script to server...,正在將安裝腳本復制到服務器……
CLI,deploy.creating_backup,Creating backup {timestamp}...,正在創建備份 {timestamp}……
CLI,deploy.creating_backup_on,Creating backup on {host}...,正在 {host} 上創建備份……
CLI,deploy.deploying,Deploying to {host}...,正在部署到 {host}……
CLI,deploy.env_copy_failed,Failed to copy .env file,復制 .env 檔案失敗
CLI,deploy.health_all_failed,All health check attempts failed,所有健康檢查均失敗
CLI,deploy.health_attempt,Health check attempt {n}/{total}...,健康檢查（{n}/{total}）……
CLI,deploy.health_failed_hint,Deploy completed but health check failed. Check logs with: aegis deploy-logs,部署完成但健康檢查失敗，請查看日志：aegis deploy-logs
CLI,deploy.health_passed,Health check passed,健康檢查通過
CLI,deploy.health_retry,"Health check failed, retrying in {interval}s...",健康檢查失敗，{interval} 秒後重試……
CLI,deploy.health_waiting,Waiting for containers to stabilize...,等待容器穩定……
CLI,deploy.init_docker_context,   Docker Context: {context},   Docker 上下文：{context}
